date,fix_mid,intrinsic_v1,intrinsic_v2,naive_rw,err_v2,err_rw,ret_basket,kf_state
2023-11-02,3.1654,3.1862340458862564,3.187481008276452,3.1853,-0.022081008276451985,-0.019899999999999807,0.00029319340875233945,0.001246962390195502
2023-11-03,3.1512,3.1679745547954354,3.173840477013778,3.1654,-0.02264047701377825,-0.014200000000000212,0.0008130120569920978,0.005865922218342598
2023-11-06,3.1448,3.151394581305269,3.1615927662050067,3.1512,-0.016792766205006693,-0.006399999999999739,6.174641342413057e-05,0.010198184899737454
2023-11-07,3.15855,3.1451877822090224,3.1509171300432324,3.1448,0.007632869956767596,0.013749999999999929,0.00012330141899809222,0.005729347834210138
2023-11-08,3.15895,3.1593311475692993,3.1607655421337433,3.15855,-0.001815542133743353,0.00039999999999995595,0.00024728150309707194,0.0014343945644438498
2023-11-09,3.1543,3.157889669109401,3.1600764845829414,3.15895,-0.0057764845829413325,-0.004649999999999821,-0.0003357156287320435,0.0021868154735401922
2023-11-10,3.15955,3.1552571493194526,3.158500338032643,3.1543,0.0010496619673570073,0.005249999999999755,0.00030339667401166586,0.0032431887131902423
2023-11-13,3.16115,3.158996514036874,3.1626250590179708,3.15955,-0.0014750590179706258,0.0016000000000002679,-0.00017519407772402285,0.003628544981096797
2023-11-14,3.13525,3.1638463029392776,3.1650487159088168,3.16115,-0.029798715908816664,-0.025900000000000034,0.0008525864596485388,0.0012024129695389885
2023-11-15,3.1251,3.1342147938820366,3.142877198359809,3.13525,-0.017777198359808732,-0.010149999999999881,-0.0003302374800419134,0.008662404477772391
2023-11-16,3.1214,3.125550540945972,3.131955218133864,3.1251,-0.010555218133863953,-0.0037000000000002586,0.00014415809804126713,0.006404677187891705
2023-11-17,3.12085,3.1222158265312827,3.13103599881276,3.1214,-0.010185998812759944,-0.0005500000000000504,0.00026133143312851006,0.008820172281477027
2023-11-20,3.1086,3.1222491124834044,3.1309951667324945,3.12085,-0.02239516673249442,-0.012249999999999872,0.00044821089065508635,0.008746054249089872
2023-11-21,3.1042,3.1080662777487307,3.1161154572329415,3.1086,-0.011915457232941407,-0.0043999999999999595,-0.00017170690165274946,0.008049179484210621
2023-11-22,3.1143,3.105253324874112,3.1110030716993298,3.1042,0.0032969283006702987,0.010099999999999998,0.0003392649333542049,0.005749746825218053
2023-11-23,3.11465,3.1157888468888526,3.1202197214246175,3.1143,-0.005569721424617313,0.0003500000000000725,0.000477953670897809,0.004430874535765062
2023-11-24,3.1092,3.1148666565747223,3.118554753355086,3.11465,-0.009354753355085954,-0.005450000000000177,6.955806902958945e-05,0.003688096780363562
2023-11-27,3.1051,3.1102108950579885,3.116315236386549,3.1092,-0.011215236386548977,-0.0040999999999997705,0.0003250774338431857,0.006104341328560521
2023-11-28,3.0996,3.1059987605288977,3.1107718278221377,3.1051,-0.011171827822137548,-0.00550000000000006,0.0002894046833975507,0.004773067293240123
